Division,Homicide_Type,Hood_ID,Neighbourhood,Occurrence_Date,Occurrence_year
D51,Shooting,70,South Riverdale (70),2017-10-01T00:00:00Z,2017
D51,Shooting,70,South Riverdale (70),2017-10-01T00:00:00Z,2017
D23,Shooting,6,Kingsview Village-The Westway (6),2017-10-05T00:00:00Z,2017
D23,Other,4,Rexdale-Kipling (4),2017-10-04T00:00:00Z,2017
D54,Stabbing,60,Woodbine-Lumsden (60),2017-10-07T00:00:00Z,2017
D23,Shooting,6,Kingsview Village-The Westway (6),2017-10-08T00:00:00Z,2017
D31,Shooting,21,Humber Summit (21),2017-10-14T00:00:00Z,2017
D53,Stabbing,55,Thorncliffe Park (55),2017-10-20T00:00:00Z,2017
D14,Other,93,Dovercourt-Wallace Emerson-Junction (93),2017-10-13T00:00:00Z,2017
D54,Stabbing,54,O'Connor-Parkview (54),2017-10-28T00:00:00Z,2017
D14,Other,82,Niagara (82),2013-07-14T00:00:00Z,2013
D42,Shooting,132,Malvern (132),2013-04-25T00:00:00Z,2013
D22,Stabbing,11,Eringate-Centennial-West Deane (11),2013-07-15T00:00:00Z,2013
D32,Stabbing,38,Lansing-Westgate (38),2013-04-25T00:00:00Z,2013
D31,Other,25,Glenfield-Jane Heights (25),2013-04-29T00:00:00Z,2013
D41,Stabbing,122,Birchcliffe-Cliffside (122),2013-04-30T00:00:00Z,2013
D22,Stabbing,11,Eringate-Centennial-West Deane (11),2013-07-15T00:00:00Z,2013
D22,Stabbing,11,Eringate-Centennial-West Deane (11),2013-07-15T00:00:00Z,2013
D14,Shooting,81,Trinity-Bellwoods (81),2013-05-19T00:00:00Z,2013
D54,Other,54,O'Connor-Parkview (54),2013-05-16T00:00:00Z,2013
D42,Shooting,131,Rouge (131),2013-05-29T00:00:00Z,2013
D42,Other,129,Agincourt North (129),2013-06-03T00:00:00Z,2013
D11,Shooting,87,High Park-Swansea (87),2013-08-05T00:00:00Z,2013
D54,Stabbing,57,Broadview North (57),2013-06-27T00:00:00Z,2013
D23,Shooting,5,Elms-Old Rexdale (5),2013-08-12T00:00:00Z,2013
D31,Shooting,25,Glenfield-Jane Heights (25),2013-07-28T00:00:00Z,2013
D31,Shooting,25,Glenfield-Jane Heights (25),2013-08-23T00:00:00Z,2013
D41,Other,119,Wexford/Maryvale (119),2014-01-14T00:00:00Z,2014
D31,Shooting,25,Glenfield-Jane Heights (25),2013-08-23T00:00:00Z,2013
D23,Shooting,8,Humber Heights-Westmount (8),2014-01-29T00:00:00Z,2014
D43,Other,137,Woburn (137),2014-01-29T00:00:00Z,2014
D54,Stabbing,54,O'Connor-Parkview (54),2014-02-02T00:00:00Z,2014
D41,Other,119,Wexford/Maryvale (119),2014-02-03T00:00:00Z,2014
D32,Shooting,105,Lawrence Park North (105),2014-02-04T00:00:00Z,2014
D22,Shooting,20,Alderwood (20),2014-02-09T00:00:00Z,2014
D23,Stabbing,2,Mount Olive-Silverstone-Jamestown (2),2014-02-12T00:00:00Z,2014
D54,Shooting,44,Flemingdon Park (44),2014-03-08T00:00:00Z,2014
D22,Stabbing,14,Islington-City Centre West (14),2014-03-09T00:00:00Z,2014
D12,Shooting,113,Weston (113),2013-09-03T00:00:00Z,2013
D33,Stabbing,48,Hillcrest Village (48),2013-09-12T00:00:00Z,2013
